PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,Lxen145,link_en,Remarques,latin,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru,text_ru,desc_ru,example_ru,link_ru,Family_pt,Subfamily_pt,Subsubfamily_pt,text_pt,desc_pt,example_pt,link_pt,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,crossLink_PredatesOn,crossLink_Denounces,crossLink_Levarages,crossLink_Allows,crossLink_Opposes,crossLink_Inverts,crossLink_Mirrors,crossLink_IsRelatedTo,type lien transverse,AIF_skosDirectRef,AIF_skosExceptionRef,AIF_skosOther,AIF_skosMappingType,shape,image,svg_color,svg_illustration,print_and_play,decimal_path_padded,depth_max4
358,2.3.1.1,"2,311",4,Influence,influence,Manipulation mentale,Conditionnement,1,2.0,3.0,,,Cadrage,7.0,Votre formulation impose un contexte qui oriente les conclusions.,65.0,Les études doivent préparer à la vie professionnelle ; il serait donc logique que les universités soient administrées par les chambres de commerce.,147.0,https://fr.wikipedia.org/wiki/Cadrage_(dA13%A9cision),Influence,Psychological manipulation,Conditioning,Framing,7.0,,The effect of how an idea is presented (including word choice) on its (truth) value.,84.0,"Since education should prepare for professional life, it would make sense for universities to be managed by the Chamber of Commerce.",,132,https://en.wikipedia.org/wiki/Framing_(social_sciences)#Rhetorical_framing_in_politics,CEt exemple politique mérite discussion,,Il dépense l'argent du contribuable alors que nous sommes en guerre contre le terrorisme.,"He keeps spending taxpayer money, while we're waging war on Terror.","Avec du temps et de la patience, les feuilles de mûrier se transforment en robe de soie.""",Влияние ,Манипуляция сознанием,Кондиционирование,Кадрирование,"Ваша формулировка навязывает контекст, который подталкивает к выводам. ","Учеба должна готовить к профессиональной жизни, будет логичным, если во главе университетов встанут торгово-промышленные палаты. ",,Influência,Manipulação psicológica,Condicionamento,Enquadramento,Sua formulação impõe um contexto que orienta as conclusões.,"Os estudos devem preparar para a vida profissional; logo, faria sentido que as universidades fossem administradas pelas câmaras de comércio.",,1,1.0,,6.3.1.1.1.2.1,,,,,,,,,,,,,circle,,,,1.0,2.311,4+
361,2.3.1.1.1.2,"2,31112",6,Influence,influence,Manipulation mentale,Conditionnement,1,2.0,4.0,,,Appât et bascule,16.0,Vous commencez par des affirmations sur lesquelles tout le monde est d'accord pour ensuite glisser subtilement vos idées contestables.,134.0,Les parents ont le devoir d'éduquer leurs enfants et de subvenir à leurs besoins ; c'est aussi à eux de déterminer quelles études ils doivent faire.,148.0,,Influence,Psychological manipulation,Conditioning,Bait and Switch,15.0,,"Stating a series of uncontroversial statements before introducing the proposed, debatable argument.",99.0,Parents have the duty to educate their children and provide for their needs; it’s also up to them to decide which studies their children should undertake.,,154,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/105/Hypnotic-Bait-and-Switch,,,"Les Français, en toute logique, parlent français, paient des impôts en France et ferment leurs frontières aux étrangers.","The English will obvisously speak English, pay taxes for the English and close their borders to foreigners.",,Влияние ,Манипуляция сознанием,Кондиционирование,Приманка,На основании общепризнанных заявлений вы подводите к сомнительному выводу,"Воспитывать детей и удоовлетворять их потребности  - родительский долг. Поэтому именно они и должны решать, куда детям пойти учиться. ",,Influência,Manipulação psicológica,Condicionamento,Isca e Troca,"Começando com afirmações sobre as quais todos concordam para, sutilmente, apresentar suas ideias mais problemáticas.",Os pais devem cuidar de seus filhos. Devem prover suas necessidades. Devem decidir o que eles estudam.,,,,,,,,,,,,,,,,,,circle,loup parmi les moutons (bof) XXXet le joueur de flûte de Hamelin?,,,,2.31112,4+
362,2.3.1.1.1.2.1,"2,311121",7,Influence,influence,Manipulation mentale,Conditionnement,2,2.0,4.0,,,Sandwich de louanges,20.0,"Vous encadrez une critique ou un commentaire négatif entre deux éloges ou compliments, pour adoucir le message et le rendre plus acceptable.",140.0,"Ton travail sur le projet a été impressionnant, vraiment. Par contre, il y a eu quelques erreurs dans tes calculs. Mais dans l'ensemble, tu as montré un grand engagement, et c'est ce qui compte le plus.",202.0,,Influence,Psychological manipulation,Conditioning,Praise Sandwich,15.0,,"Framing a criticism or negative comment between two praises or compliments, to soften the message and make it more palatable.",125.0,"Your work on the project was impressive, really. However, there were a few errors in your calculations. But overall, you showed great commitment, and that's what matters most.",,175,https://en.wikipedia.org/wiki/Praise_sandwich,,,"Les Français, en toute logique, parlent français, paient des impôts en France et ferment leurs frontières aux étrangers.","The English will obvisously speak English, pay taxes for the English and close their borders to foreigners.",,Влияние ,Манипуляция сознанием,Кондиционирование,Сэндвич похвал,"Вы окружаете критику или отрицательный комментарий двумя похвалами, чтобы смягчить послание и сделать его более приемлемым.","Твоя работа над проектом была впечатляющей, действительно. Однако было несколько ошибок в расчетах. Но в целом ты проявил большую отдачу, и это самое главное.",,Influência,Manipulação psicológica,Condicionamento,Sanduíche de Elogios,"Uma crítica ou comentário negativo é colocado entre dois elogios ou compli...  es, para suavizar a mensagem e torná-la mais palatável.","Seu trabalho no projeto foi impressionante, de verdade. No entanto, houve alguns erros nos seus cálculos. Mas no geral, você mostrou grande compromisso, e é isso que mais importa.",,,,,,,,,,,,,,,,,,circle,loup parmi les moutons (bof) XXXet le joueur de flûte de Hamelin?,,,,2.311121,4+
376,2.3.1.1.4,"2,3114",5,Influence,influence,Manipulation mentale,Conditionnement,2,2.0,6.0,,,Programmation neurolinguistique,31.0,"Au moyen de stimuli sensoriels ou verbaux, vous influez sur le comportement ou la mémoire de votre auditoire.",109.0,"Succombez à la délicatesse de ses arômes, à son goût enchanteur et à la finesse de sa texture...",96.0,https://fr.wikipedia.org/wiki/Programmation_neuro-linguistique,Influence,Psychological manipulation,Conditioning,Neuro-linguistic programming,28.0,,"Using sensory or verbal stimuli, you influence the behavior or memory of your audience.",87.0,"Succumb to the delicacy of its aromas, its enchanting taste, and the finesse of its texture...",,94,https://en.wikipedia.org/wiki/Methods_of_neuro-linguistic_programming,On n'est vraiment pas très loin du condtionnement... doublon ? Stéphanie,,,,,Влияние ,Манипуляция сознанием,Кондиционирование,Нейролингвистическое программирование,Посредством сенсорных или вербальных стимулов вы воздействуете на поведение или память вашей аудитории. ,"Поддайтесь изяществу ароматов, чарующему вкусу и нежности текстур....",,Influência,Manipulação psicológica,Condicionamento,Programação Neurolinguística,Utilizando estímulos sensoriais ou verbais para influenciar o comportamento ou a memória da audiência.,"Sucumba à delicadeza dos seus aromas, ao seu gosto encantador e à fineza da sua textura...",,,,,,,,,,,,,,,,,,circle,,,,,2.3114,4+
420,2.3.2,"2,32",3,Influence,influence,Manipulation mentale,Jeu de pouvoir,1,2.0,,,,Jeu de pouvoir,14.0,Vous cherchez à influer sur votre auditoire en prenant sur lui un ascendant psychologique.,90.0,"Si ton amour pour moi est sincère, alors tu comprendras ce que je vais t'expliquer.",83.0,,Influence,Psychological manipulation,Power games,Power games,11.0,,Gaining or maintaining mental power over the people involved in a debate.,73.0,"Do you know that tap water is seldom checked and often contains contaminants, unlike this mineral water?",,104,https://en.wikipedia.org/wiki/Power_and_control_in_abusive_relationships,,,,,,Влияние ,Манипуляция сознанием,Игра престолов,Игра престолов,Вы воздействуете на аудиторию через психологическое доминирование. ,"Если ты действительно любишь меня, то поймешь то, что я хочу тебе сказать. ",,Influência,Manipulação psicológica,Jogos de Poder,Jogos de Poder,Você procura influenciar seu público assumindo um domínio psicológico sobre ele.,"Se o seu amor por mim é sincero, então você entenderá o que estou prestes a explicar.",,,,,,,,,,,,,,,,,,circle,,,,,2.32,3
421,2.3.2.1,"2,321",4,Influence,influence,Manipulation mentale,Jeu de pouvoir,1,2.0,,,,Charme personnel,16.0,Vous utilisez votre charisme pour obtenir l'adhésion de votre auditoire à vos idées.,84.0,"Après une si belle entrée en matière, je suis sûr que nous parviendrons à dépasser ce facheux différent.  ",106.0,,Influence,Psychological manipulation,Power games,Personal charm,14.0,,Using personnal charm to suport one's argumentation.,52.0,"After such a good introduction, I am sure that we will manage to overcome this annoying difference.",,99,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/48/Argument-by-Personal-Charm,,,,,,Влияние ,Манипуляция сознанием,Игра престолов,Личное обаяние,Использование личного обаяния для поддержки своей аргументации.,"После такого хорошего вступления, я уверен, нам удастся преодолеть эту досадную разницу.",,Influência,Manipulação psicológica,Jogos de Poder,Charme Pessoal,Você usa seu carisma para obter a adesão do seu público às suas ideias.,"Após uma tão bela introdução, estou certo de que conseguiremos superar este incômodo desentendimento.",,,,,,,,,,,,,,,,,,circle,,,,,2.321,4+
432,2.3.2.2.1,"2,3221",5,Influence,influence,Manipulation mentale,Jeu de pouvoir,1,2.0,,,,Engagement,10.0,Vous cherchez à influer sur le comportement de votre auditoire en l'invitant à assumer une responsabilité induite par votre proposition.,136.0,"Puisque les bonnes ménagères que vous êtes avez été convaincues par nos recettes alléchantes et leurs bienfaits diététiques, que celles qui vont cuisiner des abats à leur mari la semaine prochaine lèvent la main. ",213.0,https://fr.wikipedia.org/wiki/Engagement_(psychologie_sociale),Influence,Psychological manipulation,Power games,Compliance,10.0,,Influencing your audience's behavior by inviting them to take responsibility induced by your proposition.,105.0,"Since you, as exemplary homemakers, have been swayed by our tempting recipes and their nutritional advantages, let those who plan to prepare variety meats for their family next week raise their hand.",,199,https://en.wikipedia.org/wiki/Compliance_(psychology),La nuance d'avec Compliance gaining (catégorie mère) n'est pas nette pour moi (BEN),,,,,Влияние ,Манипуляция сознанием,Игра престолов,Взятие обязательств,"Вы пытаетесь воздействовать на поведение аудитории, подталкивая ее связать себя обязательствами, которые накладывает ваше предложение.","Поскольку вы, как тщательные домохозяйки, уже убедились в привлекательности наших рецептов и их диетической пользе, то пусть те, кто собирается готовить субпродукты своим мужьям на следующей неделе, поднимут руку.",,Influência,Manipulação psicológica,Jogos de Poder,Comprometimento,Vocês buscam influenciar o comportamento da sua audiência convidando-a a assumir uma responsabilidade induzida pela sua proposta.,"Uma vez que vocês, como boas donas de casa que são, foram convencidas pelas nossas receitas atraentes e seus benefícios dietéticos, que aquelas que vão cozinhar miúdos para seus maridos na próxima semana levantem a mão.",,,,,,,,,,,,,,,Waste_Inference,,skos:broadMatch,circle,,,,,2.3221,4+
492,2.3.2.3.4,"2,3234",5,Influence,influence,Manipulation mentale,Jeu de pouvoir,,2.0,,,,Auto-victimisation,18.0,"Vous vous présentez comme une victime, souvent de manière exagérée, pour gagner de la sympathie ou éviter la responsabilité.",124.0,"Chaque fois que quelque chose ne va pas, c'est toujours moi qui suis blâmé, même si ce n'est pas ma faute.",106.0,https://fr.wikipedia.org/wiki/Auto-victimisation,,,,Playing the Victim,18.0,,"Portraying oneself as a victim, often in an exaggerated way, to gain sympathy or avoid responsibility.",102.0,"Every time something goes wrong, I'm always the one blamed, even when it's not my fault.",,88,https://en.wikipedia.org/wiki/Playing_the_victim,,,,,,Влияние ,Манипуляция сознанием,Игра престолов,Игра в жертву,"Вы представляете себя жертвой, часто в преувеличенной форме, чтобы получить сочувствие или избежать ответственности.","Каждый раз, когда что-то идет не так, всегда меня обвиняют, даже когда это не моя вина.",,Influência,Manipulação psicológica,Jogos de Poder,Jogar a Vítima,"Vocês se apresentam como uma vítima, muitas vezes de maneira exagerada, para ganhar simpatia ou evitar a responsabilidade.","Sempre que algo dá errado, sou sempre eu quem é culpado, mesmo quando não é minha culpa.",,,,,,,,,,,,,,,,,,circle,,,,,2.3234,4+
511,2.3.3,"2,33",3,Influence,influence,Manipulation mentale,Influence non verbale,1,1.0,,,,Influence non verbale,21.0,"Vous utilisez pour convaincre autre chose que des mots, comme le langage corporel ou les inflexions vocales.",108.0,J'ai levé les yeux au ciel et soupiré à plusieurs reprises durant son intervention pour le déstabiliser.,104.0,https://fr.wikipedia.org/wiki/Communication_non_verbale,Influence,Psychological manipulation,Nonverbal influence,Nonverbal influence,19.0,,"Influencing others with gesture, tone of voice, body language or other cues like facial expression.",99.0,I sighed and rolled my eyes several times during their speech to destabilize them.,,82,https://en.wikipedia.org/wiki/Nonverbal_influence,,,,,,Влияние ,Манипуляция сознанием,Невербальное воздействие,Невербальное воздействие,"Вы пытаетесь воздействовать на аудиторию, используя не слова, а язык тела и модуляции голоса.","Я несколько раз вздыхал и закатывал глаза во его время выступления, чтобы вывести оратора из равновесия.",,Influência,Manipulação psicológica,Influência não verbal,Influência não verbal,"Influenciando outros com gestos, tom de voz, linguagem corporal ou outros sinais como expressão facial.",Eu suspirei e revirei os olhos várias vezes durante o discurso deles para desestabilizá-los.,,1,,,,,,,,,,,,,,,,circle,,,,,2.33,3
594,3,3,1,Erreur mathématique,erreurMathématique,,,1,1.0,2.0,,,Erreur mathématique,19.0,Votre raisonnement comporte des inexactitudes quantitatives.,60.0,,0.0,,Mathematical error,,,Mathematical error,18.0,,The reasoning includes inaccuracies in in the use of numerical information.,75.0,"In my presentation, I used data from a study without verifying its source, which jeopardized the credibility of my argument.",,124,https://en.wikipedia.org/wiki/Mathematical_fallacy,,,,,,Математическая ошибка,,,Математическая ошибка,Ваше суждение имеет математические погрешности. ,"При вычислениях, совершал ошибки в использовании числовой информации.",,Erro Matemático,,,Erro Matemático,O raciocínio inclui imprecisões no uso de informações numéricas. Você emprega dados numéricos de forma incorreta ou imprecisa.,"Em minha apresentação, utilizei dados de um estudo sem confirmar a sua fonte, o que comprometeu a credibilidade da minha argumentação.",,,,,,,,,,,,,,,,,,square,géant et lilliputiens,#33F66F,,,3.0,1
595,3.1,"3,1",2,Erreur mathématique,erreurMathématique,Généralisation abusive,,1,1.0,8.0,,,Généralisation abusive,22.0,Vous faites une généralisation qui n'est pas valide dans cette situation.,73.0,Mes chats ont toujours été très doux ; les chats sont donc des animaux inoffensifs.,83.0,https://fr.wikipedia.org/wiki/G%C3%A9n%C3%A9ralisation#Le_sophisme_de_la_g.C3.A9n.C3.A9ralisation_abusive,Mathematical error,Faulty generalisation,,Faulty generalisation,21.0,,Using a generalisation rule which is invalid in the considered situation.,73.0,All my cats have been sweethearts. I think cats are inoffensive animals.,,72,https://en.wikipedia.org/wiki/Faulty_generalization,,,Tous mes amis vont voter pour ce candidat ; il est donc bien parti pour gagner !,"Most of my friends will vote for this candidate, so I believe he'll win the election.",Une hirondelle ne fait pas le printemps.,Математическая ошибка,Злоупотребление обобщением,,Злоупотребление обобщением,Вы чрезмерно расширяете область вашего суждения. ,"Все мои кошки были ангелами, я думаю, что кошки — неагрессивные животные.",,Erro Matemático,Generalização Abusiva,,Generalização Abusiva,Utilizando uma regra de generalização que é inválida na situação considerada.,Todos os meus gatos foram uns amores. Acho que os gatos são animais inofensivos.,,,,,,,,,,,,,,,"Example_Inference, InductiveInference_Scheme, EvidenceToHypothesis_Inference",,skos:broadMatch,circle,peinture au pistolet,,,,3.1,2
596,3.1.1,"3,11",3,Erreur mathématique,erreurMathématique,Généralisation abusive,Échantillon biaisé,1,2.0,8.0,,,Échantillon biaisé,18.0,Vous tirez des conclusions d'un échantillonnage qui n'est pas représentatif de la population cible.,99.0,"Ce yaourt est le meilleur, puisqu'il a été plébiscité par quatre-vingts pour cent des consommateurs.",100.0,https://fr.wikipedia.org/wiki/Échantillon_biaisé,Mathematical error,Faulty generalisation,Sampling bias,Sampling bias,13.0,,Drawing conclusions from unreliable statistical data. ,54.0,80% of our customers declare that this yoghurt has the best price-quality ratio.,,80,https://en.wikipedia.org/wiki/Sampling_bias,,,"Ma réflexion se base sur ce sondage auto-déclaratif, selon lequel soixante-quinze pour cent de la population rejettent les immigrés.","75% of the people who, on a voluntary basis, filled this questionnaire don't like migrants.","Les cimetières sont remplis de gens qui se croyaient indispensables.""",Математическая ошибка,Злоупотребление обобщением,Пример с искажениями,Пример с искажениями,"Ваша аргументация основана на ошибочных, неполных или непроверенных статистических данных, а выборка респондентов нерепрезентативна. ","80% наших клиентов заявляют, что этот йогурт имеет лучшее соотношение цена-качество.",,Erro Matemático,Generalização Abusiva,Sesgo de Amostragem,Sesgo de Amostragem,Tirando conclusões de dados estatísticos não confiáveis.,80% dos nossos clientes declaram que este iogurte tem a melhor relação preço-qualidade.,,,,,,,,,,,,,,,,,,circle,,,,,3.11,3
598,3.1.1.1.1,"3,1111",5,Erreur mathématique,erreurMathématique,Généralisation abusive,Échantillon biaisé,1,2.0,4.0,,,Généralisation hâtive,21.0,Vous déduisez une règle globale d'un échantillon trop restreint.,64.0,Avez-vous vu l'augmentation des cas de fraude chez les nouveaux employés? La nouvelle génération n'est pas fiable.,114.0,,Mathematical error,Faulty generalisation,Sampling bias,Hasty generalization,20.0,,Inferring a general rule from too small a sample.,49.0,Have you seen the increase in fraud cases among new employees? The new generation is unreliable.,,96,https://en.wikipedia.org/wiki/Hasty_generalization,"On a deux fois le même sophisme ""génralisation hâtive"". à réorganiser",,,,"""Il vaut mieux être seul que mal accompagné.""",Математическая ошибка,Злоупотребление обобщением,Пример с искажениями,Поспешное обобщение,Вы делаете поспешный глобальный вывод на основании узких данных. ,Вы видели увеличение случаев мошенничества среди новых сотрудников? Новое поколение ненадежно.,,Erro Matemático,Generalização Abusiva,Sesgo de Amostragem,Generalização Apressada,Inferindo uma regra geral de uma amostra muito pequena.,Vi 4 casos de fraude entre novos funcionários. A nova geração não é confiável.,,,,4.3.1,,,,,,,,,,,,,,circle,,,,,3.1111,4+
603,3.1.1.2.1,"3,1121",5,Erreur mathématique,erreurMathématique,Généralisation abusive,Échantillon biaisé,2,1.0,6.0,,,Cueillette de cerises,21.0,Vous ignorez les faits qui ne vont pas dans le sens de votre argumentation.,75.0,"Maman n'a pas dit non, j'ai eu une bonne note et ce bonbon est rose, ma couleur préférée : s'il te plaît, achète-le-moi !",121.0,https://fr.wikipedia.org/wiki/Cueillette_de_cerises,Mathematical error,Faulty generalisation,Sampling bias,Cherry picking,14.0,,Selectively pointing to evidence that supports a position.,58.0,"Mom didn't say no, I got a good mark and it's my favourite color. Please buy me this candy!",,91,https://en.wikipedia.org/wiki/Cherry_picking,,,,,"Goutte à goutte, l'eau creuse la pierre.""",Математическая ошибка,Злоупотребление обобщением,Пример с искажениями,Сбор черешни,"Вы игнорируете факты, противоречащие вашим аргументам. ","Мама не сказала нет, я получил хорошую оценку, а эта конфета розовая, это как раз мой любимый цвет. Пожалуйста, купи ее мне! ",,Erro Matemático,Generalização Abusiva,Sesgo de Amostragem,Cata de cerejas,Vocês ignoram os fatos que não vão na direção da sua argumentação.,"Mamãe não disse não, eu tive uma boa nota e este doce é rosa, minha cor favorita: por favor, compre-o para mim!",,1,1.0,,,,,,,,,,,,,,,circle,,,,1.0,3.1121,4+
614,3.1.2,"3,12",3,Erreur mathématique,erreurMathématique,Généralisation abusive,Sophisme de l'accident,1,1.0,8.0,,,Sophisme de l'accident,22.0,"Vous appliquez une règle générale à un cas particulier, sans considérer les exceptions qui s'appliquent.",104.0,Ma voiture peut rouler à cent trente kilomètres à l'heure ; traverser la ville ne me prendra donc que quelques minutes.,119.0,,Mathematical error,Faulty generalisation,Secundum quid,Secundum quid,13.0,Accident Fallacies,"Applying a general rule to a particular case, ignoring the exceptions that may apply.",85.0,"My car goes at 130 km an hour, I only need a few minutes to cross the city.",,75,https://en.wikipedia.org/wiki/Secundum_quid,"autre lien mieux expliqué: http://www.blackwellreference.com/public/tocnode?id=g9781405106795_chunk_g97814051067957_ss1-23
utre bonne formulation: (cosmovisions.com/sophisme.htm",a dicto secundum quid ad dictum simpliciter,,,,Математическая ошибка,Злоупотребление обобщением,Софизм аварии,Софизм аварии,"Вы применяете общий принцип к ситуаци, не учитывая частного характера последней. ","Моя машина едет 130 км/ч, мне понадобится всего несколько минут, чтобы пересечь город.",,Erro Matemático,Generalização Abusiva,Falácia do Acidente,Falácia do Acidente,"Vocês aplicam uma regra geral a um caso particular, sem considerar as exceções que se aplicam.","Meu carro pode andar a cento e trinta quilômetros por hora; atravessar a cidade, portanto, só vai levar alguns minutos.",,1,1.0,,,,,,,,,,,ExceptionSimilarityCase_Conflict,ExceptionalCase_Inference,,skos:broadMatch,circle,,,,1.0,3.12,3
621,3.1.3,"3,13",3,Erreur mathématique,erreurMathématique,Généralisation abusive,Transfert illicite,1,2.0,5.0,,,Transfert illicite,18.0,"Vous prêtez à un groupe entier les caractéristiques de ses éléments, ou l'inverse.",82.0,Un camion consomme plus de carburant qu'une voiture ; on peut en déduire que le volume global de carburant consommé par les camions est supérieur à celui que consomment les voitures.,182.0,http://misterming.free.fr/sophismes/#comp,Mathematical error,Faulty generalisation,Illicit transference,Illicit transference,20.0,,Transferring the properties of a set to its member or vice-versa.,65.0,A machine made of light parts is light. A heavy machine must be made of heavy parts.,,84,https://en.wikipedia.org/wiki/Fallacies_of_illicit_transference,"ref: Hurley, Patrick (2014), A Concise Introduction to Logic (12th ed.), Cengage Learning, pp. 161, 172",,,,,Математическая ошибка,Злоупотребление обобщением,Незаконный перенос,Незаконный перенос,"Вы считаете, что свойство, присущее совокупности явлений так же присуще каждому из ее элементов, и наоборот. ","Грузовик потребляет больше горючего, чем легковая машина. Из этого можно заключить, что общий объем горючего, потребляемого грузовиками, выше объема, потребляемого легковыми автомобилями. ",,Erro Matemático,Generalização Abusiva,Transferência Ilícita,Transferência Ilícita,"Você atribui a um grupo inteiro as características de seus elementos, ou vice-versa.","Um caminhão consome mais combustível do que um carro; portanto, pode-se deduzir que o volume total de combustível consumido pelos caminhões é superior ao dos carros.",,,,,,,,,,,,,,PropertyNotExistant_Conflict,,,skos:broadMatch,circle,,,,,3.13,3
622,3.1.3.1,"3,131",4,Erreur mathématique,erreurMathématique,Généralisation abusive,Transfert illicite,1,2.0,3.0,,,Sophisme de composition,23.0,Vous pensez à tort qu'une caractéristique commune aux membres d'un groupe s'étend à tout le groupe.,99.0,Toutes ces plantes vont mourir un jour ; ce jardin est donc voué à disparaître.,79.0,https://fr.wikipedia.org/wiki/Sophisme_de_composition,Mathematical error,Faulty generalisation,Illicit transference,Fallacy of composition,22.0,,Atrributing properties of the parts of a set to the whole set.,62.0,"All these plants will die one day, so this garden will disappear.",,65,https://en.wikipedia.org/wiki/Fallacy_of_composition,"Il y a une question sur l'identité humaine, sachant quen XX combien?) de temps toutes nos cellules sont mortes et remplacées.",,,,,Математическая ошибка,Злоупотребление обобщением,Незаконный перенос,Композиционный софизм,"Вы считаете, что свойство, которым обладают отдельные элементы, автоматически присуще всей их совокупности. ","Все эти растения однажды погибнут, так что этот сад обречен на гибель. ",,Erro Matemático,Generalização Abusiva,Transferência Ilícita,Sofisma da Composição,Você pensa erroneamente que uma característica comum aos membros de um grupo se estende a todo o grupo.,"Todas estas plantas vão morrer um dia; logo, este jardim está fadado a desaparecer.",,1,,,,,,,,,,,,,,,,circle,,,,,3.131,4+
625,3.1.3.2,"3,132",4,Erreur mathématique,erreurMathématique,Généralisation abusive,Transfert illicite,1,1.0,7.0,,,Sophisme de division,20.0,Vous attribuez faussement certaines caractéristiques d'un groupe à chacun de ses membres.,89.0,Les tigres royaux sont voués à disparaître prématurément; ce tigre royal mourra donc jeune.,91.0,,Mathematical error,Faulty generalisation,Illicit transference,Division fallacy,16.0,,Attributing properties of a whole set to each of its individual part.,69.0,"Royal Bengal tigers are deemed to vanish soon; therefore, this Royal Bengal tiger will likely die young.",,104,https://en.wikipedia.org/wiki/Fallacy_of_division,,,,,,Математическая ошибка,Злоупотребление обобщением,Незаконный перенос,Софизм разделения,Вы приписываете свойства целого каждой из его частей. ,"Бенгальские тигры скоро исчезнут. Следовательно, этот бенгальский тигр умрет слишком рано.",,Erro Matemático,Generalização Abusiva,Transferência Ilícita,Sofisma da Divisão,Vocês atribuem falsamente certas características de um conjunto a cada um dos seus membros individualmente.,"Os tigres reais de Bengala estão ameaçados de extinção em breve; portanto, este tigre real de Bengala provavelmente morrerá jovem.",,,,,,,,,,,,,,,,,,circle,,,,,3.132,4+
632,3.2,"3,2",2,Erreur mathématique,erreurMathématique,Mauvaise interprétation,,1,1.0,7.0,,,Mauvaise interprétation,23.0,Vous établissez des relations quantitative inexactes entre divers éléments ou données.,86.0,Le réchauffement du climat suit une évolution très proche de celle de la baisse de la natalité. Le lien entre les deux est averré.,130.0,https://fr.wikipedia.org/wiki/Régression_fallacieuse,Mathematical error,Interpretation fallacy,,Interpretation fallacy,22.0,,Making use of erroneous or non-existent relations.,50.0,The rate of student suicides follows the same pattern as that of Nicholas Cage's appearances on screen.,,103,https://www.seekfind.net/Logical_Fallacy_of_Misinterpretation.html#.Y72hCy-B3RY,,,,,,Математическая ошибка,Неправильная интерпретация,,Неправильная интерпретация,Вы устанавливаете несуществующие отношения между различными элементами. ,Появления Николаса Кейджа в кино за последние десять лет совпадают с пиковым количеством утоплений в бассейнах. ,,Erro Matemático,Falácia de Interpretação,,Falácia de Interpretação,Uso de relações errôneas ou inexistentes.,A taxa de suicídios entre estudantes segue o mesmo padrão que as aparições de Nicholas Cage na tela.,,,,,,,,,,,,,,,EvidenceToHypothesis_Inference,,skos:broadMatch,circle,,,,,3.2,2
633,3.2.1,"3,21",3,Erreur mathématique,erreurMathématique,Mauvaise interprétation,Relation infondée,1,2.0,5.0,,,Relation infondée,17.0,Vous attribuez une relation de sens à une simple coïncidence.,61.0,La courbe de la productivité suit clairement celle de la consommation de café. Il doit en être la cause.,104.0,,Mathematical error,Interpretation fallacy,Spurious relationship,Spurious relationship,21.0,,Claiming causality between coincident facts when that coincidence could be explained differently.,97.0,I was sick. I prayed and then I felt better. ,,45,https://en.wikipedia.org/wiki/Spurious_relationship,,,,,,Математическая ошибка,Неправильная интерпретация,Безосновательное отношение,Безосновательное отношение,Вы приписываете смысл простому совпадению. ,"Поскольку я болел, то решил помолиться, и исцелился. ",,Erro Matemático,Falácia de Interpretação,Relacionamento Espúrio,Relacionamento Espúrio,Alegar causalidade entre fatos coincidentes quando essa coincidência poderia ser explicada de maneira diferente.,Eu estava doente. Orei e então me senti melhor.,,,,,,,,,,,,,,PropertyNotExistant_Conflict,Sign_Inference,,skos:broadMatch,circle,,,,,3.21,3
636,3.2.1.3,"3,213",4,Erreur mathématique,erreurMathématique,Mauvaise interprétation,Relation infondée,1,2.0,4.0,,,Sophisme de régression,22.0,Vous attribuez à tort un effet spécial à ce qui est simplement un retour à la normale après une fluctuation.,108.0,"Comme j'étais très malade, j'ai prié et cela m'a guéri.",55.0,http://www.fallacyfiles.org/regressf.html,Mathematical error,Interpretation fallacy,Spurious relationship,Regressive fallacy,18.0,,Attributing a specific cause to the natural return from an extreme to the average.,82.0,"After feeling severely ill, I prayed and then got better. This does not prove that prayer can cure illnesses.",,109,http://www.skepdic.com/regressive.html,,,,,,Математическая ошибка,Неправильная интерпретация,Безосновательное отношение,Софизм регрессии,"Вы приписываете ошибочную причину тому, что является всего лишь результатом естественных колебаний. ","Я был очень болен, помолился и выздоровел, это не доказывает, что молитва лечит болезни.",,Erro Matemático,Falácia de Interpretação,Relacionamento Espúrio,Falácia Regressiva,Atribuir uma causa específica ao retorno natural de um extremo à média.,"Como eu estava muito doente, orei e isso me curou.",,,,,,,,,,,,,,,,,,circle,,,,,3.213,4+
